maximum,sku,Cost,Color,length,width,height,weight,title,url,review,Product detail,Return Policy,Date and Time,Brand
5,ND-ICON,1290,Black Mesh- Black Frame,,,,20kg,Icon Chair,https://navodesk.com/product/icon-chair/,0,"ICON Chair, Premium Ergonomic Gaming & Office Chair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
5,ND-AER0-F,890,LIGHT-GREY,,,,26kg,Aero chair Ergonomic office chair navodesk Red,https://navodesk.com/product/aero-chair/,5,"AERO Chair, Ergonomic Design, Premium Office & Computer Chair with Multi-adjustable features by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
5,ND-KIKO,690,BEIGE-GREY,,,,19.4kg,"KIKO Chair, Ergonomic Folding Design, Premium Office &amp; Computer Chair by Navodesk (MARINE BLUE)",https://navodesk.com/product/kiko-chair/,0,"KIKO Chair, Ergonomic Folding Design, Premium Office & Computer Chair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
,solo-nd-low,1386,Carbon Ash,,,,8kg,"Solo Chair, Premium Stackable Chairs, Modern Solid wood Chairs for Dining &amp; Leisure, Cafe Chairs for Home &amp; Office By Navodesk",https://navodesk.com/product/solo-chair-low/,0,"Solo Chair, Premium Stackable Chairs, Modern Solid wood Chairs for Dining & Leisure, Cafe Chairs for Home & Office By Navodesk","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
,ND-ICON,1290,Grey Mesh-Black Frame,,,,20kg,icon-chair-black,https://navodesk.com/product/icon-chair/,0,"ICON Chair, Premium Ergonomic Gaming & Office Chair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
,ND-ICON,1290,Grey Mesh-White Frame,,,,20kg,icon-chair-red,https://navodesk.com/product/icon-chair/,0,"ICON Chair, Premium Ergonomic Gaming & Office Chair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
,ND-ICON,1290,Red Mesh-Black Frame,,,,20kg,icon-chair-grey,https://navodesk.com/product/icon-chair/,0,"ICON Chair, Premium Ergonomic Gaming & Office Chair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
,ND-ICON,1290,Red Mesh-White Frame,,,,20kg,icon-chairs-grey,https://navodesk.com/product/icon-chair/,0,"ICON Chair, Premium Ergonomic Gaming & Office Chair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
,ND-AER0-F,890,MARINE-BLUE,,,,26kg,"Aero Chair Ergonomic Design, Premium Office &amp; Computer Chair with Multi-adjustable features by Navodesk (Pure Black)_ Buy Online at Best Price UAE",https://navodesk.com/product/aero-chair/,5,"AERO Chair, Ergonomic Design, Premium Office & Computer Chair with Multi-adjustable features by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
,ND-AER0-F,890,MINT-GREEN,,,,26kg,aero-chair-fabric-navodesk,https://navodesk.com/product/aero-chair/,5,"AERO Chair, Ergonomic Design, Premium Office & Computer Chair with Multi-adjustable features by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:36,NAVODESK
